,cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
82,8,DIAPH3,6.35270978520827e-234,2.16846110287064,0.932,0.241,1.5923702347603e-229
83,8,BRIP1,0,2.10452896482509,0.932,0.145,0
84,8,CENPP,6.76798938791551e-222,2.05760863580567,0.955,0.279,1.6964642199749e-217
85,8,MMS22L,7.72777793724769e-186,1.78018554781546,0.971,0.36,1.93704481775051e-181
86,8,BRCA1,0,1.74688237168582,0.855,0.093,0
87,8,RFC3,7.89252264845482e-202,1.70962747883853,0.879,0.227,1.97833972706168e-197
88,8,FANCA,0,1.70110459939565,0.832,0.112,0
89,8,FANCI,0,1.69825133262236,0.839,0.112,0
90,8,DTL,0,1.65137040075676,0.776,0.068,0
91,9,MT-CO1,1.1822451042912e-127,1.80632554147064,0.969,0.851,2.96341557841632e-123
92,9,MT-CO2,1.13400779963068e-120,1.79046921925544,0.944,0.823,2.84250395055426e-116
93,9,MT-ND3,1.49679116744073e-104,1.77712293603054,0.91,0.735,3.75185674030693e-100
94,9,MT-CO3,2.7818047515327e-152,1.75373793432247,0.989,0.912,6.97287179019188e-148
95,9,MT-ATP6,2.0501340380255e-137,1.68592239927969,0.983,0.885,5.13886597971472e-133
96,9,AC105402.3,2.2627106934633e-78,1.68274929164733,0.89,0.861,5.67171062423511e-74
97,9,MTRNR2L8,9.76216488960138e-51,1.59926211085443,0.758,0.715,2.44698425122748e-46
98,9,MT-ND4,2.61803257670005e-86,1.5699851174977,0.896,0.788,6.56236045675634e-82
99,9,MT-ND1,5.93933527895281e-53,1.55735834010315,0.77,0.664,1.48875378102231e-48
100,9,MT-CYB,1.7514673302145e-82,1.53749388883932,0.876,0.763,4.39022800991566e-78
101,10,HS3ST4,0,4.52371808905387,1,0.122,0
102,10,DPP10,1.15548701585281e-266,3.92710143123284,0.997,0.343,2.89634375393666e-262
103,10,LRP1B,3.33691529400608e-255,3.44038290701856,1,0.377,8.36431187595564e-251
104,10,CDH18,0,3.16910875766289,0.907,0.064,0
105,10,ADAMTSL1,0,3.15333997487054,0.986,0.194,0
106,10,LINGO2,0,3.11120731164923,0.986,0.099,0
107,10,CSMD1,3.90190019433402e-259,3.08553063435029,1,0.322,9.78050302711766e-255
108,10,OPCML,7.67709865147574e-258,2.98523530067326,0.988,0.285,1.92434154797891e-253
109,10,TRPM3,0,2.94761682246887,0.988,0.126,0
110,10,SLIT3,0,2.93453858003271,0.881,0.041,0
111,11,HS6ST3,1.58022358717483e-186,2.84620749797746,0.98,0.342,3.96098844361243e-182
112,11,IQCJ-SCHIP1,6.51422050870699e-116,2.7129826307484,0.698,0.202,1.6328545127125e-111
113,11,SATB2,6.58529536893692e-164,2.33353245660833,1,0.571,1.65067013717773e-159
114,11,RBFOX1,1.13501977846889e-155,2.17183650956992,1,0.839,2.84504057671011e-151
115,11,DAB1,3.42517527423598e-133,2.0431408648628,0.983,0.521,8.5855443423999e-129
116,11,MCTP1,2.43994114458938e-155,2.02518597465254,0.905,0.284,6.11595647302774e-151
117,11,SLC44A5,1.31518742118754e-144,2.02129351537762,0.997,0.65,3.29664878994868e-140
118,11,GRM7,1.33304336178962e-102,1.94034697998673,0.769,0.27,3.34140649066186e-98
119,11,MSRA,2.1829572508812e-139,1.91463043153311,1,0.61,5.47180064505881e-135
120,11,NKAIN2,9.72832257919092e-112,1.8944205272309,0.986,0.809,2.4385013377e-107
121,12,KCNIP4,3.00555928450224e-12,2.07632095024229,0.527,0.309,7.53373490253332e-08
122,12,CLSTN2,2.58828605155873e-21,1.67240580951447,0.393,0.153,6.48779781683711e-17
123,12,CACNA2D3,3.31755711985266e-24,1.67067957036232,0.418,0.158,8.31578867662269e-20
